# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ahl2_badlogistics
# Exported by: Reverend Jesse V92
setting:	replacespawns 1
weapon_ttt_smokegrenade	-349.550446 -844.354004 262.173065	-0.571 -1.731 -0.868
weapon_ttt_smokegrenade	558.511841 1344.711060 356.185242	-0.450 -1.749 -0.683
weapon_ttt_smokegrenade	837.256958 311.747131 288.190857	-0.423 -1.363 -0.247
item_ammo_smg1_ttt	-529.615845 273.465454 0.386401	0.088 -0.005 0.046
item_ammo_smg1_ttt	-127.480423 -502.300507 354.386414	-0.088 0.005 0.047
item_ammo_smg1_ttt	-127.030396 -534.785217 354.432587	0.850 -0.001 0.558
item_ammo_smg1_ttt	329.888214 1139.533325 0.456429	-0.157 -0.081 0.174
item_ammo_smg1_ttt	307.858307 1136.162231 0.516407	-0.256 0.014 -0.223
item_ammo_smg1_ttt	985.307068 -437.017029 0.512354	-0.289 0.013 -0.250
item_ammo_smg1_ttt	985.854431 -411.809540 0.505260	-0.594 0.012 -0.462
weapon_ttt_m16	269.627380 136.746628 0.945957	1.673 -4.969 84.741
weapon_ttt_m16	-525.225281 1163.569580 0.856615	2.214 -5.789 83.975
weapon_ttt_m16	952.531067 924.774170 0.856818	2.212 -5.789 83.973
item_box_buckshot_ttt	-673.693787 930.159180 256.378845	0.144 0.003 -0.033
item_box_buckshot_ttt	-654.267578 929.888611 256.404388	-0.843 -0.007 0.752
item_box_buckshot_ttt	-620.342529 929.394409 256.424255	-0.739 -0.001 0.576
item_box_buckshot_ttt	-361.298676 -838.625671 297.203278	-2.947 13.206 -78.300
item_box_buckshot_ttt	-328.995392 -852.739990 256.471832	0.890 -0.310 0.201
item_box_buckshot_ttt	-318.463043 -849.521362 256.444489	0.611 -0.009 0.503
item_box_buckshot_ttt	-324.666229 -833.382202 256.385864	0.957 0.002 0.831
item_box_buckshot_ttt	-379.226196 1544.991455 0.434520	-0.614 -0.006 0.545
item_box_buckshot_ttt	-369.335724 1545.701172 0.430816	-0.676 -0.004 0.538
item_box_buckshot_ttt	-392.468689 1537.748047 0.331921	0.330 0.004 -0.255
item_box_buckshot_ttt	602.227722 788.453918 216.344223	0.611 0.003 -0.486
item_box_buckshot_ttt	631.317078 788.250122 216.471649	-0.317 -0.006 0.282
item_box_buckshot_ttt	1235.807251 517.067078 0.350473	0.838 0.002 -0.671
item_box_buckshot_ttt	1213.268921 513.778748 0.380451	-0.062 0.002 0.138
item_box_buckshot_ttt	1194.143066 519.597168 0.395525	-0.932 -0.002 0.831
weapon_zm_rifle	406.051270 122.593826 359.118805	3.675 12.652 65.603
weapon_zm_rifle	-832.269348 137.778030 287.151825	3.326 15.389 65.038
weapon_zm_mac10	-525.904541 298.300690 1.270327	0.059 -50.576 -88.991
weapon_zm_mac10	-152.796158 -507.949707 355.229279	-0.125 -50.619 -88.446
weapon_zm_mac10	297.980530 1158.924194 1.275063	-0.062 -50.549 -88.934
weapon_zm_mac10	1015.121399 -421.899445 1.268683	-0.696 -48.677 -88.559
ttt_playerspawn	-1211.574829 -319.990479 0.558244	0.132 0.097 0.000
ttt_playerspawn	-1221.837158 -272.738098 0.513450	-0.085 -0.000 0.085
ttt_playerspawn	-1222.771729 -225.160782 0.516021	-0.082 -0.000 0.082
ttt_playerspawn	-1224.223511 -188.174149 0.528853	-0.069 -0.000 0.070
ttt_playerspawn	-1177.080933 -183.722702 0.559851	-0.039 -0.000 0.039
ttt_playerspawn	-1175.515259 -221.909332 0.565970	-0.033 -0.000 0.033
ttt_playerspawn	-1160.843018 -348.877655 0.546562	-0.052 -0.000 0.052
ttt_playerspawn	-1162.585327 -295.826111 0.558734	-0.010 0.508 -0.000
ttt_playerspawn	-1166.605225 -259.496613 0.554252	0.006 0.478 -0.139
ttt_playerspawn	-1161.018555 -135.478714 0.526676	-0.072 -0.000 0.072
ttt_playerspawn	-1144.755981 -92.062950 0.519735	-0.078 -0.000 0.078
ttt_playerspawn	-1079.013306 -31.076637 0.525562	-0.073 -0.000 0.073
ttt_playerspawn	-1089.881714 -99.108124 0.543245	-0.055 -0.000 0.055
ttt_playerspawn	-1091.456299 -141.749771 0.520936	-0.077 -0.000 0.077
ttt_playerspawn	-1092.786987 -189.580978 0.556059	-0.043 -0.000 0.043
ttt_playerspawn	-1093.661133 -231.158279 0.526676	-0.072 -0.000 0.072
ttt_playerspawn	-1094.487183 -270.844116 0.522119	-0.076 -0.000 0.076
ttt_playerspawn	-1028.525391 -264.579224 0.529918	-0.068 -0.000 0.068
ttt_playerspawn	-1024.284180 -226.830048 0.567902	-0.104 0.678 -0.002
ttt_playerspawn	-1023.170105 -189.119156 0.599800	0.000 0.482 -0.000
ttt_playerspawn	-1024.007813 -152.653183 0.599799	-0.228 0.498 -0.228
ttt_playerspawn	-1040.489746 -113.721306 0.560066	0.097 -6.871 -0.029
ttt_playerspawn	-1021.912720 -66.598312 0.547361	-0.051 -0.000 0.051
ttt_playerspawn	-1027.282104 -6.343305 0.551907	-0.047 -0.000 0.047
ttt_playerspawn	-1027.594971 47.786259 0.537876	-0.061 -0.000 0.061
ttt_playerspawn	-1082.807373 125.666115 0.533015	-0.065 -0.000 0.065
ttt_playerspawn	-1088.532349 180.011429 0.524432	-0.074 -0.000 0.074
ttt_playerspawn	-1091.362183 250.944397 0.527773	-0.071 -0.000 0.071
ttt_playerspawn	-1131.367432 284.784363 0.519735	-0.078 -0.000 0.078
ttt_playerspawn	-1204.004395 346.111786 0.514745	-0.083 -0.000 0.083
ttt_playerspawn	-1231.413574 427.755005 0.539720	-0.059 -0.000 0.059
ttt_playerspawn	-1220.466309 533.134827 0.531998	-0.066 -0.000 0.066
ttt_playerspawn	-1215.775635 586.072937 0.542383	-0.056 -0.000 0.056
ttt_playerspawn	-1147.021729 699.756653 0.529918	-0.068 -0.000 0.068
ttt_playerspawn	-1151.914185 617.184082 0.534017	-0.064 -0.000 0.064
ttt_playerspawn	-1155.855713 564.896240 0.535004	-0.063 -0.000 0.063
ttt_playerspawn	-1158.934326 507.210022 0.546562	-0.052 -0.000 0.052
ttt_playerspawn	-1156.494873 442.947052 0.539720	-0.059 -0.000 0.059
ttt_playerspawn	-1119.653320 349.259521 0.528853	-0.069 -0.000 0.070
item_ammo_357_ttt	404.173584 132.792480 360.346344	0.453 0.062 0.049
item_ammo_357_ttt	427.036652 135.412994 360.350006	0.454 0.062 0.048
item_ammo_357_ttt	-815.728394 158.813950 288.405731	0.946 0.013 0.063
item_ammo_357_ttt	-832.866577 155.392517 288.411621	0.482 -0.000 -0.053
item_ammo_357_ttt	-851.189941 145.111618 288.315430	0.462 0.075 0.056
item_ammo_pistol_ttt	272.219238 105.884682 0.368807	-0.113 -0.020 -0.034
item_ammo_pistol_ttt	270.261536 73.174942 0.387026	-0.098 -0.020 -0.029
item_ammo_pistol_ttt	270.686554 51.588947 0.333276	-0.144 -0.018 -0.044
item_ammo_pistol_ttt	-376.456390 -425.418030 0.360712	-0.121 -0.019 -0.036
item_ammo_pistol_ttt	-372.558136 -394.787109 0.368807	-0.113 -0.020 -0.034
item_ammo_pistol_ttt	-364.157410 -421.012207 0.390350	-0.095 -0.020 -0.029
item_ammo_pistol_ttt	18.081081 -516.528320 354.385345	-0.099 -0.020 -0.030
item_ammo_pistol_ttt	27.059370 -531.699402 354.352112	-0.128 -0.019 -0.039
item_ammo_pistol_ttt	-528.053467 1186.562256 0.372674	-0.110 -0.020 -0.033
item_ammo_pistol_ttt	-544.205750 1184.315918 0.354313	-0.126 -0.019 -0.038
item_ammo_pistol_ttt	-550.210205 1180.350830 0.339504	-0.171 -0.020 -0.059
item_ammo_pistol_ttt	1006.622314 1030.231689 354.442322	-0.473 0.494 -0.520
item_ammo_pistol_ttt	1000.584900 1020.516602 354.377625	-0.010 0.009 0.027
item_ammo_pistol_ttt	809.864990 79.680542 0.414126	0.256 0.008 0.098
item_ammo_pistol_ttt	819.784302 68.868790 3.230738	89.963 154.360 180.000
item_ammo_pistol_ttt	840.305908 94.251999 0.422704	-0.386 0.695 -0.620
